Respondent_Serial,language,country,yyyymmdd,AgeGender,weight,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
7046,Portuguese,Brazil,20210524,Men 21-25,0.7989931073486891, , , , , , , , ,Northeast, ,22,man,Brazil: Northeast,very,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,not at all,yes,no,yes,no,no,yes,no,yes,yes,a little,a little,a little,moderately,not at all,a little,not at all,moderately,a little
7047,English,United States,20210524,Women 16-20,0.7880886902845492, ,South, , , , , , , , ,19,woman,United States: South,moderately,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,a little,no,no,no,no,no,no,yes,yes,yes,not at all,not at all,a little,not at all,not at all,not at all,a little,not at all,a little
7048,English,Nigeria,20210524,Women 21-25,0.5461534727534851, , , , ,South East, , , , , ,23,woman,Nigeria: South East,a little,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,a little,yes,yes,no,yes,yes,yes,yes,no,no,not at all,not at all,not at all,not at all,not at all,a little,not at all,not at all,not at all
7049,Portuguese,Portugal,20210524,Men 16-20,1.2044255081036508, , , , , , , ,Center, , ,18,man,Portugal: Center,a little,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,a little,no,yes,no,no,yes,yes,yes,no,yes,moderately,very,moderately,moderately,a little,a little,very,very,moderately
7050,English,Philippines,20210524,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,21,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,very,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,not at all,no,no,no,no,no,no,yes,yes,yes,very,very,extremely,moderately,very,a little,very,extremely,a little
7051,Portuguese,Brazil,20210524,Women 16-20,1.6211913104050577, , , , , , , , ,Northeast, ,19,woman,Brazil: Northeast,a little,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,a little,no,no,yes,no,no,no,yes,yes,yes,not at all,not at all,a little,a little,not at all,moderately,prefer not to say,very,a little
7052,English,United Kingdom,20210524,Women 21-25,0.9578710094154348, , ,North, , , , , , , ,21,woman,United Kingdom: North,very,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,a little,yes,yes,no,yes,yes,yes,prefer not to say,no,no,prefer not to say,not at all,not at all,a little,not at all,a little,not at all,prefer not to say,extremely
7053,English,United Kingdom,20210524,Men 21-25,1.0694221826080494, , ,North, , , , , , , ,21,man,United Kingdom: North,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,moderately,yes,no,yes,no,no,yes,no,no,yes,moderately,moderately,very,very,moderately,moderately,moderately,moderately,very
7054,Finnish,Finland,20210524,Men 21-25,1.0808990998993568, , , , , , ,West Finland, , , ,22,man,Finland: West Finland,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,not at all,no,no,no,no,no,no,no,no,no,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
7056,French,France,20210524,Men 21-25,1.0198439498128617, , , , , , , , , ,Ile de France,23,man,France: Ile de France,very,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,moderately,no,yes,yes,yes,no,yes,no,no,yes,very,very,very,very,very,very,very,very,very
7057,English,Nigeria,20210524,Men 21-25,1.582968639987312, , , , ,North East, , , , , ,21,man,Nigeria: North East,a little,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,yes,yes,yes,yes,yes,no,no,yes,no,a little,a little,extremely,moderately,a little,prefer not to say,a little,not at all,moderately
7058,Portuguese,Brazil,20210524,Women 16-20,1.5547726869490746, , , , , , , , ,South, ,18,woman,Brazil: South,moderately,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,moderately,not at all,a little,not at all,not at all,moderately,not at all
7059,English,Nigeria,20210524,Women 21-25,0.5461534727534851, , , , ,South East, , , , , ,25,woman,Nigeria: South East,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,extremely,not at all,extremely,not at all,extremely,extremely,not at all
7060,English,Nigeria,20210524,Men 16-20,1.04485102043752, , , , ,South West, , , , , ,20,man,Nigeria: South West,a little,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,a little,no,yes,no,no,no,no,no,no,no,a little,a little,a little,a little,a little,a little,a little,a little,moderately
7062,English,Nigeria,20210524,Women 21-25,0.5484544101033021, , , , ,North Central, , , , , ,24,woman,Nigeria: North Central,very,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,I don't talk to other people about climate change,not at all,no,no,yes,yes,no,no,yes,yes,yes,not at all,very,extremely,not at all,very,not at all,extremely,a little,not at all
7063,Finnish,Finland,20210524,Men 16-20,1.003880491296018, , , , , , ,West Finland, , , ,17,man,Finland: West Finland,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,moderately,no,no,no,no,no,no,no,no,no,a little,a little,a little,a little,a little,a little,a little,a little,a little
7064,French,France,20210524,Women 21-25,1.0296639405015962, , , , , , , , , ,North West,24,woman,France: North West,very,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,very,yes,yes,no,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,a little,a little,extremely,a little,a little
7065,English,United States,20210524,Women 16-20,0.7880886902845492, ,South, , , , , , , , ,20,woman,United States: South,very,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,very,a little,very,not at all,very,moderately,not at all
7066,Finnish,Finland,20210524,Men 16-20,1.0478541383029216, , , , , , ,South Finland, , , ,20,man,Finland: South Finland,extremely,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,prefer not to say,prefer not to say,yes,yes,no,a little,prefer not to say,yes,prefer not to say,yes,yes,prefer not to say,yes,prefer not to say,prefer not to say,a little,a little,a little,a little,a little,moderately,a little,a little,very
7067,Portuguese,Brazil,20210524,Women 21-25,0.726200239102256, , , , , , , , ,Southeast, ,25,woman,Brazil: Southeast,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,prefer not to say,no,yes,yes,no,yes,yes,yes,yes,very,yes,yes,no,yes,yes,no,yes,yes,no,very,a little,a little,very,very,not at all,not at all,very,a little
7069,English,United Kingdom,20210524,Women 21-25,0.9122757883172335, , ,South, , , , , , , ,25,woman,United Kingdom: South,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes,yes,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,very,extremely,not at all,very,not at all,extremely,moderately,not at all
7070,English,Nigeria,20210524,Men 21-25,0.3940813394917377, , , , ,North Central, , , , , ,24,man,Nigeria: North Central,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,not at all,no,no,no,no,no,no,yes,yes,yes,not at all,a little,a little,not at all,very,not at all,extremely,a little,not at all
7071,English,Nigeria,20210524,Men 16-20,1.04485102043752, , , , ,South West, , , , , ,18,man,Nigeria: South West,very,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,moderately,prefer not to say,yes,prefer not to say,yes,prefer not to say,prefer not to say,yes,yes,no,moderately,not at all,not at all,very,moderately,moderately,a little,a little,a little
7072,English,Philippines,20210524,Men 21-25,0.7209880946930312, , , , , ,Central Philippines Region, , , , ,24,man,Philippines: Central Philippines Region,extremely,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,not at all,extremely,very,not at all,moderately,a little,moderately,moderately
7073,English,United Kingdom,20210524,Men 21-25,1.0694221826080494, , ,North, , , , , , , ,25,man,United Kingdom: North,moderately,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,moderately,yes,no,yes,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,a little,a little,a little,moderately,moderately
7074,Portuguese,Brazil,20210524,Men 16-20,1.5432146633405612, , , , , , , , ,Southeast, ,19,man,Brazil: Southeast,very,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,not at all,no,no,yes,yes,no,no,yes,yes,yes,moderately,not at all,very,a little,a little,a little,moderately,not at all,not at all
7075,Finnish,Finland,20210524,Women 21-25,0.7403900082320471, , , , , , ,South Finland, , , ,23,woman,Finland: South Finland,moderately,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,I don't talk to other people about climate change,prefer not to say,no,no,no,yes,prefer not to say,yes,yes,yes,no,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say
7076,Portuguese,Brazil,20210524,Women 16-20,1.5547726869490746, , , , , , , , ,South, ,20,woman,Brazil: South,very,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,no,yes,very,very,moderately,not at all,moderately,not at all,very,very,not at all
7077,English,Nigeria,20210524,Men 21-25,0.348822364602262, , , , ,South South, , , , , ,22,man,Nigeria: South South,moderately,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,not at all,yes,yes,no,yes,yes,yes,yes,no,no,not at all,not at all,a little,moderately,not at all,moderately,not at all,not at all,moderately
7078,Portuguese,Brazil,20210524,Women 16-20,1.62345947221951, , , , , , , , ,Southeast, ,20,woman,Brazil: Southeast,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,very,not at all,very,not at all,very,extremely,not at all
7079,Finnish,Finland,20210524,Women 16-20,1.2080684447628702, , , , , , ,South Finland, , , ,18,woman,Finland: South Finland,moderately,yes,no,yes,no,no,no,no,no,prefer not to say,no,no,yes,no,yes,no,yes,prefer not to say,yes,no,no,no,yes,no,moderately,no,yes,no,yes,yes,yes,no,no,no,moderately,very,moderately,moderately,very,moderately,a little,a little,a little
7081,English,Nigeria,20210524,Women 21-25,0.5484544101033021, , , , ,North Central, , , , , ,23,woman,Nigeria: North Central,a little,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,a little,no,yes,yes,yes,yes,yes,no,no,no,not at all,not at all,a little,a little,not at all,a little,not at all,not at all,a little
7083,English,Philippines,20210524,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,24,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,a little,yes,no,no,yes,no,no,yes,no,no,a little,moderately,moderately,very,a little,a little,a little,a little,moderately
7084,English,United States,20210524,Women 21-25,1.239095865185164, ,South, , , , , , , , ,24,woman,United States: South,moderately,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,a little,not at all,a little,a little,not at all,not at all,a little,not at all
7086,Portuguese,Brazil,20210524,Women 21-25,0.6757430772175125, , , , , , , , ,Central-West, ,24,woman,Brazil: Central-West,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,extremely,not at all,very,a little,extremely,very,not at all
7088,English,United States,20210524,Women 21-25,1.221129847873407, ,West, , , , , , , , ,23,woman,United States: West,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,yes,yes,no,no,yes,yes,yes,yes,not at all,very,very,not at all,very,not at all,very,very,not at all
7089,Finnish,Finland,20210524,Men 16-20,1.1203657229946984, , , , , , ,East Finland, , , ,18,man,Finland: East Finland,moderately,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,not at all,yes,prefer not to say,no,no,no,no,yes,yes,yes,not at all,a little,a little,not at all,a little,a little,a little,a little,a little
7090,English,Philippines,20210524,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,21,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,very,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,I don't talk to other people about climate change,a little,yes,no,yes,yes,no,no,yes,yes,yes,a little,a little,a little,a little,a little,a little,moderately,a little,a little
7093,English,Nigeria,20210524,Men 21-25,1.59501766914096, , , , ,North West, , , , , ,25,man,Nigeria: North West,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,no,no,yes,yes,yes,yes,no,a little,moderately,a little,a little,a little,a little,a little,moderately,not at all
7094,English,United Kingdom,20210524,Women 16-20,0.9803719981125373, , ,South, , , , , , , ,16,woman,United Kingdom: South,prefer not to say,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,moderately,no,yes,no,yes,yes,yes,no,yes,yes,a little,moderately,moderately,moderately,moderately,a little,moderately,moderately,very
7095,Portuguese,Brazil,20210524,Women 21-25,0.7251856528559323, , , , , , , , ,Northeast, ,21,woman,Brazil: Northeast,extremely,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,very,not at all,very,not at all,extremely,very,not at all
7096,Portuguese,Brazil,20210524,Men 21-25,0.744518398714993, , , , , , , , ,Central-West, ,22,man,Brazil: Central-West,very,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,not at all,no,yes,yes,no,no,no,no,yes,yes,moderately,very,very,not at all,moderately,not at all,very,extremely,not at all
7098,French,France,20210524,Men 16-20,0.9707145076462869, , , , , , , , , ,Centre,20,man,France: Centre,moderately,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,moderately,no,no,no,yes,no,no,no,no,yes,moderately,moderately,moderately,very,moderately,moderately,very,moderately,moderately
7099,French,France,20210524,Men 21-25,0.9512586747655055, , , , , , , , , ,Centre,21,man,France: Centre,very,yes,yes,yes,yes,no,no,prefer not to say,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,prefer not to say,yes,yes,yes,prefer not to say,prefer not to say,yes,yes,prefer not to say,yes,no,prefer not to say,prefer not to say,no,extremely,not at all,extremely,a little,moderately,moderately,moderately,very,not at all
7100,Finnish,Finland,20210524,Women 21-25,0.7093192249242061, , , , , , ,West Finland, , , ,23,woman,Finland: West Finland,extremely,yes,yes,no,yes,prefer not to say,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,a little,yes,yes,yes,no,yes,yes,no,no,yes,not at all,extremely,very,very,prefer not to say,extremely,a little,moderately,a little
7102,French,France,20210524,Men 16-20,1.0407025385210553, , , , , , , , , ,Ile de France,20,man,France: Ile de France,a little,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,not at all,no,yes,no,no,no,no,yes,no,no,very,not at all,not at all,not at all,extremely,not at all,not at all,not at all,not at all
7103,English,United States,20210524,Women 21-25,1.2278194220377854, ,Midwest, , , , , , , , ,22,woman,United States: Midwest,extremely,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,very,not at all,extremely,not at all,extremely,very,not at all
7104,English,Nigeria,20210524,Men 21-25,0.39242804533237147, , , , ,South East, , , , , ,23,man,Nigeria: South East,moderately,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,a little,no,yes,no,yes,yes,no,yes,no,no,not at all,not at all,very,moderately,a little,a little,a little,moderately,moderately
7105,English,Philippines,20210524,Women 21-25,0.6408921343302343, , , , , ,Mindanao Super Region, , , , ,22,woman,Philippines: Mindanao Super Region,a little,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,not at all,no,no,no,no,no,no,yes,yes,yes,moderately,extremely,moderately,not at all,very,not at all,very,a little,not at all
7107,Finnish,Finland,20210524,Men 21-25,1.1993402507545545, , , , , , ,North Finland, , , ,25,man,Finland: North Finland,moderately,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,very,yes,yes,no,yes,yes,no,yes,yes,yes,not at all,not at all,a little,moderately,very,not at all,a little,moderately,not at all
7108,Portuguese,Brazil,20210524,Men 21-25,0.8039277381474912, , , , , , , , ,North, ,25,man,Brazil: North,very,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,very,yes,yes,no,yes,yes,yes,yes,yes,no,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
7110,Portuguese,Brazil,20210524,Men 21-25,0.7662591406660899, , , , , , , , ,South, ,21,man,Brazil: South,a little,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,yes,yes,yes,yes,moderately,very,moderately,moderately,a little,not at all,very,extremely,not at all
7111,Portuguese,Brazil,20210524,Women 21-25,0.7251856528559323, , , , , , , , ,Northeast, ,23,woman,Brazil: Northeast,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,very,very,very,not at all,very,not at all,extremely,very,not at all
7112,Portuguese,Brazil,20210524,Men 21-25,0.80011095546721, , , , , , , , ,Southeast, ,25,man,Brazil: Southeast,very,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,a little,no,no,no,no,no,yes,yes,yes,yes,a little,a little,a little,a little,a little,a little,a little,a little,a little
7113,Finnish,Finland,20210524,Men 21-25,1.1282464444101474, , , , , , ,South Finland, , , ,21,man,Finland: South Finland,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,not at all,no,no,no,no,no,no,yes,yes,no,not at all,not at all,not at all,very,not at all,very,not at all,not at all,very
7114,English,United Kingdom,20210524,Women 16-20,0.973762230263565, , ,Midlands, , , , , , , ,20,woman,United Kingdom: Midlands,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,prefer not to say,no,yes,no,moderately,yes,no,no,no,yes,no,yes,yes,no,a little,a little,a little,a little,not at all,a little,a little,not at all,a little
7115,Finnish,Finland,20210524,Men 16-20,1.0478541383029216, , , , , , ,South Finland, , , ,18,man,Finland: South Finland,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,I don't talk to other people about climate change,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say
7116,Portuguese,Brazil,20210524,Women 16-20,1.510659788341183, , , , , , , , ,Central-West, ,20,woman,Brazil: Central-West,extremely,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,not at all,yes,no,yes,no,no,no,yes,yes,yes,moderately,moderately,moderately,not at all,a little,not at all,not at all,moderately,not at all
7117,English,Nigeria,20210524,Men 21-25,0.39242804533237147, , , , ,South East, , , , , ,24,man,Nigeria: South East,extremely,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,moderately,no,no,no,no,no,no,yes,yes,yes,extremely,moderately,very,moderately,very,moderately,very,extremely,moderately
7119,English,Nigeria,20210524,Women 21-25,0.5461534727534851, , , , ,South East, , , , , ,23,woman,Nigeria: South East,moderately,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,not at all,no,no,yes,no,no,no,yes,no,yes,a little,not at all,moderately,not at all,very,not at all,very,not at all,not at all
7120,English,United Kingdom,20210524,Women 16-20,0.9803719981125373, , ,South, , , , , , , ,19,woman,United Kingdom: South,extremely,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,prefer not to say,yes,prefer not to say,moderately,prefer not to say,very,not at all,moderately,not at all,moderately,very,not at all
7121,Portuguese,Brazil,20210524,Women 16-20,1.62345947221951, , , , , , , , ,Southeast, ,18,woman,Brazil: Southeast,extremely,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,very,extremely,very,moderately,moderately,not at all,very,very,not at all
7124,English,Nigeria,20210524,Men 21-25,0.3940813394917377, , , , ,North Central, , , , , ,23,man,Nigeria: North Central,not worried,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,not at all,no,no,no,yes,yes,yes,no,no,no,a little,not at all,not at all,moderately,not at all,very,not at all,not at all,a little
7125,Portuguese,Brazil,20210524,Women 21-25,0.6954755054454548, , , , , , , , ,South, ,23,woman,Brazil: South,very,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,moderately,no,no,yes,no,no,no,yes,yes,yes,a little,very,very,a little,a little,a little,very,not at all,not at all
7126,Portuguese,Brazil,20210524,Women 21-25,0.726200239102256, , , , , , , , ,Southeast, ,24,woman,Brazil: Southeast,moderately,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,a little,yes,yes,no,yes,yes,no,yes,no,no,a little,not at all,a little,very,a little,a little,not at all,not at all,very
7127,English,United States,20210524,Men 16-20,0.9814464955257121, ,Midwest, , , , , , , , ,17,man,United States: Midwest,a little,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,I don't talk to other people about climate change,prefer not to say,no,no,yes,yes,no,no,yes,yes,yes,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
7128,Portuguese,Brazil,20210524,Women 16-20,1.5547726869490746, , , , , , , , ,South, ,19,woman,Brazil: South,a little,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,not at all,no,no,no,no,yes,yes,no,no,no,a little,moderately,a little,a little,a little,a little,a little,moderately,a little
7130,English,Nigeria,20210524,Men 21-25,0.3114404806500046, , , , ,South West, , , , , ,21,man,Nigeria: South West,extremely,yes,no,prefer not to say,yes,prefer not to say,yes,yes,prefer not to say,yes,yes,prefer not to say,yes,no,yes,yes,prefer not to say,yes,yes,yes,no,no,yes,no,moderately,no,no,yes,no,prefer not to say,no,prefer not to say,yes,yes,prefer not to say,very,extremely,moderately,moderately,a little,very,not at all,not at all
7131,Finnish,Finland,20210524,Men 21-25,1.0808990998993568, , , , , , ,West Finland, , , ,25,man,Finland: West Finland,very,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,prefer not to say,yes,yes,no,no,yes,yes,I don't talk to other people about climate change,a little,no,no,yes,no,no,no,no,yes,yes,moderately,not at all,moderately,not at all,a little,not at all,a little,a little,a little
7132,English,Nigeria,20210524,Men 21-25,1.59501766914096, , , , ,North West, , , , , ,23,man,Nigeria: North West,extremely,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,very,yes,no,no,yes,no,yes,yes,yes,no,not at all,not at all,not at all,a little,a little,not at all,moderately,moderately,moderately
7133,Finnish,Finland,20210524,Men 16-20,1.0478541383029216, , , , , , ,South Finland, , , ,19,man,Finland: South Finland,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,I don't talk to other people about climate change,a little,prefer not to say,yes,no,prefer not to say,yes,yes,prefer not to say,no,prefer not to say,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
7135,English,Nigeria,20210524,Men 16-20,1.3165560326585106, , , , ,South East, , , , , ,20,man,Nigeria: South East,moderately,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,prefer not to say,no,no,no,no,no,no,yes,yes,a little,yes,no,no,no,no,yes,no,yes,no,moderately,moderately,a little,a little,very,not at all,not at all,moderately,moderately
7136,Portuguese,Brazil,20210524,Women 21-25,0.726200239102256, , , , , , , , ,Southeast, ,24,woman,Brazil: Southeast,moderately,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,moderately,yes,no,no,no,yes,no,no,yes,yes,very,very,a little,very,a little,not at all,very,very,very
